8.35.211.120:443#SIN|25.39MB/s
188.164.248.169:443#SIN|22.99MB/s
8.35.211.14:443#SIN|21.21MB/s
188.164.248.247:443#SIN|21.04MB/s
188.164.248.164:443#SIN|19.99MB/s
104.18.33.177:443#SIN|19.51MB/s
8.35.211.17:443#SIN|16.08MB/s
188.164.248.185:443#SIN|12.20MB/s
104.18.33.164:443#SIN|10.24MB/s
188.164.248.46:443#SIN|10.12MB/s
8.35.211.225:443#SIN|8.42MB/s
8.35.211.11:443#SIN|3.10MB/s
104.18.33.187:443#SIN|7.21MB/s
104.18.33.63:443#SIN|8.80MB/s
8.35.211.98:443#SIN|9.13MB/s
104.18.33.102:443#SIN|4.92MB/s
8.35.211.142:443#SIN|2.13MB/s
8.35.211.18:443#SIN|0.13MB/s
188.164.248.122:443#SIN|0.26MB/s
188.164.248.200:443#SIN|8.35MB/s
